Var5,Var7,Var11,Var12,Var13
A3FF37,2025/08/12 01:50:39.905,8974.57562117347,42.3755613252018,-71.537222259743
A3FF37,2025/08/12 01:50:42.795,9154.0719184963,42.375039709387,-71.5422467803761
A3FF37,2025/08/12 01:50:43.285,9181.46854687344,42.3749362569149,-71.5431219713044
A3FF37,2025/08/12 01:50:43.865,9211.79456828192,42.3748283600023,-71.5441617764313
A3FF37,2025/08/12 01:50:44.336,9235.82877950893,42.374739649534,-71.5450324710527
A3FF37,2025/08/12 01:50:44.895,9263.66773570843,42.3746364283745,-71.5460170659542
A3FF37,2025/08/12 01:50:45.766,9309.96163282948,42.3744701770842,-71.547570607356
A3FF37,2025/08/12 01:50:54.676,9777.08116706137,42.3727367910735,-71.5637060599137
A3FF37,2025/08/12 01:50:59.265,10000.2682617363,42.3717873830756,-71.5722270617237
A3FF37,2025/08/12 01:51:02.275,10149.2328810346,42.3711499313973,-71.5778539574488
A3FF37,2025/08/12 01:51:03.345,10214.6462281248,42.370929173987,-71.5799211068071
A3FF37,2025/08/12 01:51:12.335,10675.3051593676,42.3690710628755,-71.5971623673543
A3FF37,2025/08/12 01:51:14.276,10774.6201043424,42.3686768161651,-71.6009951780515
A3FF37,2025/08/12 01:51:56.646,12825.0129781022,42.3598960722538,-71.6887278999461
A16779,2025/08/12 01:38:37.734,6925,42.45834,-71.4667233725638
A16779,2025/08/12 01:38:58.891,7250,42.4479700923472,-71.4756781406684
A16779,2025/08/12 01:38:59.391,7253.66301657156,42.4477274074221,-71.4758967454044
A16779,2025/08/12 01:39:00.421,7261.60513668215,42.4472030864152,-71.4763163123088
A16779,2025/08/12 01:39:01.329,7274.63264913863,42.4467258312096,-71.4767131594109
A16779,2025/08/12 01:39:01.820,7279.76853147511,42.446465030165,-71.476904479157
A16779,2025/08/12 01:39:02.234,7282.97910536894,42.4462389057063,-71.4770890067582
A16779,2025/08/12 01:39:05.712,7327.102211474,42.4444374474382,-71.4785650894837
A16779,2025/08/12 01:39:06.300,7330.40706526084,42.444098511713,-71.4788323021063
A16779,2025/08/12 01:39:06.859,7332.4524058698,42.4437782710725,-71.4790843070212
A16779,2025/08/12 01:39:07.318,7341.33799704919,42.4435225117648,-71.4792871626673
A16779,2025/08/12 01:39:07.775,7347.57860726179,42.4432637380629,-71.4794998127979
A16779,2025/08/12 01:39:08.330,7352.93697659169,42.4429613442261,-71.4797568605944
A16779,2025/08/12 01:39:08.843,7363.16040077839,42.4426832467308,-71.4799995892288
A16779,2025/08/12 01:39:09.379,7371.22182108162,42.4423924304301,-71.480236041191
A16779,2025/08/12 01:39:09.947,7377.62988859808,42.4420806258257,-71.4805064130503
A16779,2025/08/12 01:39:11.006,7393.71770543811,42.4415261515859,-71.4809865803455
A16779,2025/08/12 01:39:11.421,7399.43783254987,42.4413199306113,-71.4811800205709
A16779,2025/08/12 01:39:12.010,7411.89033628954,42.4410130136703,-71.4814481263693
A16779,2025/08/12 01:39:12.542,7420.91007862771,42.4407234707334,-71.4817142045097
A16779,2025/08/12 01:39:12.961,7426.59398749273,42.4405046699458,-71.4819229109656
A16779,2025/08/12 01:39:13.447,7437.35631863909,42.440243222421,-71.4821517553013
A16779,2025/08/12 01:39:14.483,7452.46496857371,42.4397073897716,-71.4826404116697
A16779,2025/08/12 01:39:15.020,7464.27921071422,42.4394457111637,-71.4829012514531
A16779,2025/08/12 01:39:15.935,7484.82311998618,42.4389722855929,-71.4833402889357
A16779,2025/08/12 01:39:17.306,7514.26852692434,42.4382786042465,-71.4840034064436
A16779,2025/08/12 01:39:17.813,7524.12323574403,42.4380245891841,-71.4842516953139
A16779,2025/08/12 01:39:18.254,7530.40114383422,42.4378012822863,-71.4844852303314
A16779,2025/08/12 01:39:18.800,7542.88433493106,42.4375382984311,-71.4847560768299
A16779,2025/08/12 01:39:19.212,7550.50834017688,42.4373339954468,-71.4849782454482
A16779,2025/08/12 01:39:19.775,7558.4813909465,42.4370534027726,-71.485279041514
A16779,2025/08/12 01:39:20.295,7563.78497788153,42.4367918055418,-71.4855520200004
A16779,2025/08/12 01:39:20.782,7572.82526140947,42.4365457438695,-71.4858137222306
A16779,2025/08/12 01:39:21.225,7579.33372706208,42.4363259907899,-71.4860519971296
A16779,2025/08/12 01:39:36.218,7775.45478514641,42.4289519270168,-71.4942989886957
A16779,2025/08/12 01:39:54.054,8024.69688519289,42.4192461755474,-71.5034923758984
A16779,2025/08/12 01:39:56.542,8056.17551133515,42.4177860385342,-71.504703352375
